"ScientificName";"AphiaID";"Synonym";"SynonymID";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"locality";"locationID";"higherGeography";"higherGeographyID";"recordStatus";"typeStatus";"establishmentMeans";"invasiveness";"occurrence";"decimalLatitude";"decimalLongitude";"qualityStatus";"Acc_authority";"Citation";"Status";"isMarine";"Higher_GEO";"RGex2";"SbRGex2";"Year";"Period";"REL";"EC";"TC";"TS_Other";"TS_ball";"TS_hull";"COR";"UNA";"UNK";"Total";"Pathway_Probability"
"Abudefduf sexfasciatus";159289;"Abudefduf sexfasciatus";159289;"Animalia";"Chordata";"Teleostei";"Ovalentaria incertae sedis";"Pomacentridae";"Abudefduf";"Greek part of the Aegean Sea";"http://marineregions.org/mrgid/25625";"Aegean Sea";"http://marineregions.org/mrgid/3315";"valid";NA;"Alien";"Not specified";"Sometimes present";NA;NA;"trusted";"(Lacepède, 1801)";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Abudefduf sexfasciatus (Lacepède, 1801). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=159289 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abudefduf vaigiensis";212879;"Abudefduf vaigiensis";212879;"Animalia";"Chordata";"Teleostei";"Ovalentaria incertae sedis";"Pomacentridae";"Abudefduf";"Mediterranean Sea";"http://marineregions.org/mrgid/1905";"Mediterranean Sea";"http://marineregions.org/mrgid/1905";"valid";NA;"Alien";NA;NA;NA;NA;"unreviewed";"(Quoy & Gaimard, 1825)";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Abudefduf vaigiensis (Quoy & Gaimard, 1825). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=212879 on 2025-05-16";"accepted";1;"Mediterranean";"Mediterranean Sea";"Ionian Sea and the Central Mediterranean Sea";"2013";"2012-2017";NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA
"Abudefduf vaigiensis";212879;"Abudefduf vaigiensis";212879;"Animalia";"Chordata";"Teleostei";"Ovalentaria incertae sedis";"Pomacentridae";"Abudefduf";"Israeli part of the Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/25194";"Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/4280";"valid";NA;"Alien";"Not specified";"Reported";NA;NA;"trusted";"(Quoy & Gaimard, 1825)";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Abudefduf vaigiensis (Quoy & Gaimard, 1825). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=212879 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abudefduf vaigiensis";212879;"Abudefduf vaigiensis";212879;"Animalia";"Chordata";"Teleostei";"Ovalentaria incertae sedis";"Pomacentridae";"Abudefduf";"Italian part of the Tyrrhenian Sea";"http://marineregions.org/mrgid/25611";"Tyrrhenian Sea";"http://marineregions.org/mrgid/3386";"valid";NA;"Alien";"Not specified";"Reported";NA;NA;"unreviewed";"(Quoy & Gaimard, 1825)";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Abudefduf vaigiensis (Quoy & Gaimard, 1825). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=212879 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abudefduf vaigiensis";212879;"Abudefduf vaigiensis";212879;"Animalia";"Chordata";"Teleostei";"Ovalentaria incertae sedis";"Pomacentridae";"Abudefduf";"Italian part of the Tyrrhenian Sea";"http://marineregions.org/mrgid/25611";"Tyrrhenian Sea";"http://marineregions.org/mrgid/3386";"valid";NA;"Alien";NA;"Detected in the wild";NA;NA;"trusted";"(Quoy & Gaimard, 1825)";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Abudefduf vaigiensis (Quoy & Gaimard, 1825). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=212879 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abudefduf vaigiensis";212879;"Abudefduf vaigiensis";212879;"Animalia";"Chordata";"Teleostei";"Ovalentaria incertae sedis";"Pomacentridae";"Abudefduf";"Lebanese part of the Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/25193";"Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/4280";"valid";NA;"Alien";NA;"Detected in the wild";NA;NA;"trusted";"(Quoy & Gaimard, 1825)";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Abudefduf vaigiensis (Quoy & Gaimard, 1825). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=212879 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abudefduf vaigiensis";212879;"Abudefduf vaigiensis";212879;"Animalia";"Chordata";"Teleostei";"Ovalentaria incertae sedis";"Pomacentridae";"Abudefduf";"Maltese part of the Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/25190";"Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/4280";"valid";NA;"Alien";NA;"Detected in the wild";NA;NA;"trusted";"(Quoy & Gaimard, 1825)";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Abudefduf vaigiensis (Quoy & Gaimard, 1825). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=212879 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abudefduf vaigiensis";212879;"Abudefduf vaigiensis";212879;"Animalia";"Chordata";"Teleostei";"Ovalentaria incertae sedis";"Pomacentridae";"Abudefduf";"Maltese part of the Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/25190";"Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/4280";"valid";NA;"Alien";"Not specified";"Reported";35.9525;14.4466;"trusted";"(Quoy & Gaimard, 1825)";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Abudefduf vaigiensis (Quoy & Gaimard, 1825). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=212879 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abudefduf vaigiensis";212879;"Abudefduf vaigiensis";212879;"Animalia";"Chordata";"Teleostei";"Ovalentaria incertae sedis";"Pomacentridae";"Abudefduf";"Syrian part of the Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/25192";"Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/4280";"valid";NA;"Alien";"Not specified";"Reported";34.8214;35.8769;"trusted";"(Quoy & Gaimard, 1825)";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Abudefduf vaigiensis (Quoy & Gaimard, 1825). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=212879 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abudefduf vaigiensis";212879;"Abudefduf vaigiensis";212879;"Animalia";"Chordata";"Teleostei";"Ovalentaria incertae sedis";"Pomacentridae";"Abudefduf";"Greek part of the Ionian Sea";"http://marineregions.org/mrgid/25621";"Ionian Sea";"http://marineregions.org/mrgid/3351";"valid";NA;"Alien";"Not specified";"Reported";NA;NA;"trusted";"(Quoy & Gaimard, 1825)";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Abudefduf vaigiensis (Quoy & Gaimard, 1825). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=212879 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acanthaster planci";213289;"Acanthaster planci";213289;"Animalia";"Echinodermata";"Asteroidea";"Valvatida";"Acanthasteridae";"Acanthaster";"France";"http://marineregions.org/mrgid/17";"France";"http://marineregions.org/mrgid/17";"valid";NA;"Alien";"Uncertain";"Reported";NA;NA;"trusted";"(Linnaeus, 1758)";"Mah, C.L. (2025). World Asteroidea Database. Acanthaster planci (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=213289 on 2025-05-16";"accepted";1;"France";"Mediterranean Sea";"Western Mediterranean Sea";"2006";"2006-2011";NA;NA;NA;NA;0.5;0.5;NA;NA;NA;1;"NA"
"Acanthaster planci";213289;"Acanthaster planci";213289;"Animalia";"Echinodermata";"Asteroidea";"Valvatida";"Acanthasteridae";"Acanthaster";"French part of the Mediterranean Sea - Western Basin";"http://marineregions.org/mrgid/25185";"Mediterranean Sea - Western Basin";"http://marineregions.org/mrgid/4279";"valid";NA;"Alien";"Not specified";"Sometimes present";NA;NA;"unreviewed";"(Linnaeus, 1758)";"Mah, C.L. (2025). World Asteroidea Database. Acanthaster planci (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=213289 on 2025-05-16";"accepted";1;"France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acanthopagrus bifasciatus";218589;"Acanthopagrus bifasciatus";218589;"Animalia";"Chordata";"Teleostei";"Eupercaria incertae sedis";"Sparidae";"Acanthopagrus";"Tunisian part of the Mediterranean Sea - Western Basin";"http://marineregions.org/mrgid/25179";"Mediterranean Sea - Western Basin";"http://marineregions.org/mrgid/4279";"valid";NA;"Alien";NA;"Detected in the wild";NA;NA;"trusted";"(Forsskål, 1775)";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Acanthopagrus bifasciatus (Forsskål, 1775). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=218589 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acanthopagrus bifasciatus";218589;"Acanthopagrus bifasciatus";218589;"Animalia";"Chordata";"Teleostei";"Eupercaria incertae sedis";"Sparidae";"Acanthopagrus";"Tunisian part of the Mediterranean Sea - Western Basin";"http://marineregions.org/mrgid/25179";"Mediterranean Sea - Western Basin";"http://marineregions.org/mrgid/4279";"valid";NA;"Alien";"Not specified";"Reported";37.1214;10.7859;"trusted";"(Forsskål, 1775)";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Acanthopagrus bifasciatus (Forsskål, 1775). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=218589 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acanthopagrus bifasciatus";218589;"Acanthopagrus bifasciatus";218589;"Animalia";"Chordata";"Teleostei";"Eupercaria incertae sedis";"Sparidae";"Acanthopagrus";"Egyptian part of the Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/25198";"Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/4280";"valid";NA;"Alien";"Not specified";"Reported";31.287938;30.032502;"trusted";"(Forsskål, 1775)";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Acanthopagrus bifasciatus (Forsskål, 1775). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=218589 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acanthurus chirurgus";159580;"Acanthurus chirurgus";159580;"Animalia";"Chordata";"Teleostei";"Acanthuriformes";"Acanthuridae";"Acanthurus";"Maltese part of the Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/25190";"Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/4280";"valid";NA;"Alien";NA;"Detected in the wild";35.895833333333;14.520833333333;"trusted";"(Bloch, 1787)";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Acanthurus chirurgus (Bloch, 1787). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=159580 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acanthurus chirurgus";159580;"Acanthurus chirurgus";159580;"Animalia";"Chordata";"Teleostei";"Acanthuriformes";"Acanthuridae";"Acanthurus";"Italian part of the Tyrrhenian Sea";"http://marineregions.org/mrgid/25611";"Tyrrhenian Sea";"http://marineregions.org/mrgid/3386";"valid";NA;"Alien";NA;"Detected in the wild";NA;NA;"trusted";"(Bloch, 1787)";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Acanthurus chirurgus (Bloch, 1787). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=159580 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acanthurus coeruleus";159581;"Acanthurus coeruleus";159581;"Animalia";"Chordata";"Teleostei";"Acanthuriformes";"Acanthuridae";"Acanthurus";"Cypriote part of the Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/25196";"Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/4280";"valid";NA;"Alien";"Uncertain";"Reported";NA;NA;"trusted";"Bloch & Schneider, 1801";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Acanthurus coeruleus Bloch & Schneider, 1801. Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=159581 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acanthurus coeruleus";159581;"Acanthurus coeruleus";159581;"Animalia";"Chordata";"Teleostei";"Acanthuriformes";"Acanthuridae";"Acanthurus";"Maltese part of the Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/25190";"Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/4280";"valid";NA;"Alien";NA;"Detected in the wild";NA;NA;"trusted";"Bloch & Schneider, 1801";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Acanthurus coeruleus Bloch & Schneider, 1801. Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=159581 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acanthurus coeruleus";159581;"Acanthurus coeruleus";159581;"Animalia";"Chordata";"Teleostei";"Acanthuriformes";"Acanthuridae";"Acanthurus";"Israeli part of the Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/25194";"Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/4280";"valid";NA;"Alien";"Not specified";"Reported";NA;NA;"trusted";"Bloch & Schneider, 1801";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Acanthurus coeruleus Bloch & Schneider, 1801. Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=159581 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acanthurus gahhm";219636;"Acanthurus gahhm";219636;"Animalia";"Chordata";"Teleostei";"Acanthuriformes";"Acanthuridae";"Acanthurus";"Greek part of the Aegean Sea";"http://marineregions.org/mrgid/25625";"Aegean Sea";"http://marineregions.org/mrgid/3315";"valid";NA;"Alien";"Not specified";"Sometimes present";NA;NA;"trusted";"(Forsskål, 1775)";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Acanthurus gahhm (Forsskål, 1775). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=219636 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acanthurus monroviae";126750;"Acanthurus monroviae";126750;"Animalia";"Chordata";"Teleostei";"Acanthuriformes";"Acanthuridae";"Acanthurus";"European waters (ERMS scope)";"http://marineregions.org/mrgid/7130";"North Atlantic Ocean";"http://marineregions.org/mrgid/1912";"valid";NA;NA;NA;NA;NA;NA;"unreviewed";"Steindachner, 1876";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Acanthurus monroviae Steindachner, 1876. Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=126750 on 2025-05-16";"accepted";1;"Europe";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acanthurus monroviae";126750;"Acanthurus monroviae";126750;"Animalia";"Chordata";"Teleostei";"Acanthuriformes";"Acanthuridae";"Acanthurus";"Mediterranean Sea";"http://marineregions.org/mrgid/1905";"Mediterranean Sea";"http://marineregions.org/mrgid/1905";"valid";NA;NA;NA;NA;NA;NA;"trusted";"Steindachner, 1876";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Acanthurus monroviae Steindachner, 1876. Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=126750 on 2025-05-16";"accepted";1;"Mediterranean";"Mediterranean Sea";"Ionian Sea and the Central Mediterranean Sea";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acanthurus monroviae";126750;"Acanthurus monroviae";126750;"Animalia";"Chordata";"Teleostei";"Acanthuriformes";"Acanthuridae";"Acanthurus";"Israeli part of the Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/25194";"Mediterranean Sea - Eastern Basin";"http://marineregions.org/mrgid/4280";"valid";NA;NA;NA;NA;NA;NA;"unreviewed";"Steindachner, 1876";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Acanthurus monroviae Steindachner, 1876. Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=126750 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acanthurus monroviae";126750;"Acanthurus monroviae";126750;"Animalia";"Chordata";"Teleostei";"Acanthuriformes";"Acanthuridae";"Acanthurus";"Algerian part of the Mediterranean Sea - Western Basin";"http://marineregions.org/mrgid/25180";"Mediterranean Sea - Western Basin";"http://marineregions.org/mrgid/4279";"valid";NA;"Alien";NA;NA;NA;NA;"trusted";"Steindachner, 1876";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Acanthurus monroviae Steindachner, 1876. Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=126750 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acanthurus sohal";219649;"Acanthurus sohal";219649;"Animalia";"Chordata";"Teleostei";"Acanthuriformes";"Acanthuridae";"Acanthurus";"Greek part of the Aegean Sea";"http://marineregions.org/mrgid/25625";"Aegean Sea";"http://marineregions.org/mrgid/3315";"valid";NA;"Alien";NA;"Detected in the wild";36.9346;26.987879;"trusted";"(Forsskål, 1775)";"Froese, R. and D. Pauly. Editors. (2025). FishBase. Acanthurus sohal (Forsskål, 1775). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=219649 on 2025-05-16";"accepted";1;"Mediterranean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
