"x"
"Mytilaster minimus"
"Mytilicola intestinalis"
"Mytilicola orientalis"
"Mytilopsis leucophaeata"
"Mytilus edulis"
"Mytilus galloprovincialis"
"Mytilus trossulus"
"Naineris quadraticeps"
"Naineris setosa"
"Namanereis littoralis"
"Navicula finmarchica"
"Necora puber"
"Nemalion vermiculare"
"Nemipterus randalli"
"Nemopsis bachei"
"Neodexiospira brasiliensis"
"Neodexiospira steueri"
"Neogastroclonium subarticulatum"
"Neogobius melanostomus"
"Neoizziella divaricata"
"Neomysis americana"
"Neomysis integer"
"Neopyropia leucosticta"
"Nephasoma eremita"
"Nereis jacksoni"
"Nerita sanguinolenta"
"Nippoleucon hinumensis"
"Nitophyllum stellato"
"Nodobaculariella cristobalensis"
"Nodobaculariella galapagosensis"
"Notocochlis gualtieriana"
"Notocomplana koreana"
"Notomastus aberans"
"Notomastus mossambicus"
"Novafabricia infratorquata"
"Nudiscintilla glabra"
"Nybelinia africana"
"Obesogammarus crassus"
"Ocinebrellus inornatus"
"Oculina patagonica"
"Odontodactylus scyllarus"
"Oedalechilus labeo"
"Oithona davisae"
"Oncorhynchus gorbuscha"
"Oncorhynchus kisutch"
"Oncorhynchus mykiss"
"Operculina ammonoides"
"Ophiactis macrolepidota"
"Ophiactis savignyi"
"Ophioblennius atlanticus"
"Ophryotrocha diadema"
"Ophryotrocha japonica"
"Oplegnathus fasciatus"
"Oreochromis niloticus"
"Orthopristis chrysoptera"
"Oscilla galilae"
"Osmundea oederi"
"Ostorhinchus fasciatus"
"Ostracoblabe implexa"
"Ostrea angasi"
"Ostrea denselamellosa"
"Ostrea edulis"
"Ostrea equestris"
"Ostrea puelchana"
"Ostrea stentina"
"Oulastrea crispata"
"Ova canalifera"
"Oxydromus humesi"
"Oxynoe viridis"
"Oxytoxum criophilum"
"Oxyurichtys keiensis"
"Oxyurichthys petersii"
"Pachycerianthus multiplicatus"
"Pachycordyle michaeli"
"Pachygrapsus gracilis"
"Pachymeniopsis gargiuloi"
"Pachymeniopsis lanceolata"
"Pacifastacus leniusculus"
"Pacificincola perforata"
"Padina boergesenii"
"Pagrus major"
"Pagurus longicarpus"
"Palaemon elegans"
"Palaemon longirostris"
"Palaemon macrodactylus"
"Palola valida"
"Pampus argenteus"
"Pandalosia subfirmata"
"Panopeus occidentalis"
"Panulirus regius"
"Papenfussiella kuromo"
"Parablennius goreensis"
"Parablennius thysanius"
"Paracalanus quasimodo"
"Paracanthurus hepatus"
"Paracaprella pusilla"
"Paracartia grani"
"Paracerceis sculpta"
"Paractinia striata"
"Paradella dianae"
"Paradyte crinoidicola"
"Paraleucilla dalmatica"
"Paraleucilla magna"
"Paralithodes camtschaticus"
"Parametopella cypris"
"Paramysis (Mesomysis) intermedia"
"Paramysis (Serrapalpisis) lacustris"
"Paranais frici"
"Paranthias furcifer"
"Paranthura japonica"
"Paraprionospio coora"
"Parasmittina alba"
"Parasmittina egyptiaca"
"Parasmittina multiaviculata"
"Parasorites orbitolitoides"
"Paratapes textilis"
"Paratenuisentis ambiguus"
"Parexocoetus mento"
"Parupeneus forsskali"
"Parvocalanus crassirostris"
"Parvocalanus elegans"
"Pegidia lacunata"
"Pempheris rhomboidea"
"Penaeus aztecus"
"Penaeus hathor"
"Penaeus japonicus"
"Penaeus merguiensis"
"Penaeus monodon"
"Penaeus pulchricaudatus"
"Penaeus semisulcatus"
"Penaeus subtilis"
"Penicillus capitatus"
"Percnon gibbesi"
"Perforatus perforatus"
"Peridiniella catenata"
"Peridiniella danica"
"Peridinium quadridentatum"
"Perinereis linea"
"Perkinsus chesapeaki"
"Perkinsus olsenii"
"Perophora japonica"
"Perophora multiclathrata"
"Perophora viridis"
"Petalonia binghamiae"
"Petricolaria pholadiformis"
"Petroscirtes ancylodon"
"Phaeocystis pouchetii"
"Phalacroma oxytoxoides"
"Phallusia mammillata"
"Phallusia nigra"
"Pharaonella astula"
"Phascolion convestitum"
"Phascolosoma scolops"
"Pherusa affinis"
"Pherusella brevituba"
"Phorcus lineatus"
"Phorcus richardi"
"Phorcus sauciatus"
"Phoronis hippocrepia"
"Photis lamellifera"
"Photobacterium damsela"
"Phrix spatulata"
"Phycocalidia suborbiculata"
"Phyllorhiza punctata"
"Phymactis papillosa"
"Piaractus brachypomus"
"Pikea californica"
"Pileolaria berkeleyana"
"Pilumnopeus africanus"
"Pilumnopeus vauquelini"
"Pilumnus hirtellus"
"Pilumnus minutus"
"Pilumnus spinifer"
"Pinctada fucata"
"Pinctada radiata"
"Pinguipes brasilianus"
"Piscicola pojmanskae"
"Pisione guanche"
"Pista unibranchia"
"Plagioselmis prolonga"
"Plagusia squamosa"
"Planiliza haematocheila"
"Planispirinella exigua"
"Planogypsina acervalis"
"Platax teira"
"Platycephalus indicus"
"Platyscelus armatus"
"Pleopis schmackeri"
"Pleurosigma simonsenii"
"Plocamium secundatum"
"Plocamopherus ocellatus"
"Plocamopherus tilesii"
"Poecilopsetta beanii"
"Polititapes aureus"
"Polyandrocarpa zorritensis"
"Polycera hedgpethi"
"Polycerella emertoni"
"Polycirrus twisti"
"Polyclinum aurantium"
"Polyclinum constellatum"
"Polydora aggregata"
"Polydora colonia"
"Polydora cornuta"
"Polydora hoplura"
"Polydora onagawaensis"
"Polydora triglanda"
"Polydora websteri"
"Polyopes lancifolius"
"Polysiphonia forfex"
"Polysiphonia morrowii"
"Polysiphonia senticulosa"
"Polysiphonia subtilissima"
"Pomacanthus imperator"
"Pomacanthus maculosus"
"Pomacanthus paru"
"Pomadasys stridens"
"Pomatostegus stellatus"
"Pontogammarus robustoides"
"Porphyra umbilicalis"
"Portunus segnis"
"Potamocorbula amurensis"
"Potamopyrgus antipodarum"
"Potamothrix bavaricus"
"Potamothrix bedoti"
"Potamothrix heuscheri"
"Potamothrix moldaviensis"
"Potamothrix vejdovskyi"
"Predaea huismanii"
"Priacanthus prolixus"
"Primavelans glabricollaris"
"Prionospio aluta"
"Prionospio depauperata"
"Prionospio krusadensis"
"Prionospio paucipinnulata"
"Prionospio pulchra"
"Prionospio saccifera"
"Proasellus coxalis"
"Procambarus clarkii"
"Processa macrodactyla"
"Prognathodes marcellae"
"Prokelisia marginata"
"Pronoctiluca pelagica"
"Pronoctiluca spinifera"
"Prorocentrum gracile"
"Prorocentrum lima"
"Prosphaerosyllis longipapillata"
"Prosthiostomum wagurensis"
"Prosuberites longispinus"
"Proterorhinus nasalis"
"Protodorvillea biarticulata"
"Protoreaster nodosus"
"Psammacoma gubernaculum"
"Pseudochattonella farcimen"
